NumberOne,NumberTwo,Add,Multiply,Devide,Power,Sqrt
0.774729879,0.005851381,0.78058126,0.004533239,132.4012115,0.998507603,0.880187412
0.938061425,0.123731972,1.061793397,0.11606819,7.581398794,0.992119809,0.968535712
0.29986257,0.503022857,0.802885427,0.150837727,0.596121162,0.545607008,0.547597087
0.651486913,0.631425009,1.282911922,0.41136513,1.031772425,0.762948814,0.807147392
0.549167596,0.51206378,1.061231376,0.281208835,1.072459364,0.735719571,0.74105843
0.430195564,0.923091838,1.353287403,0.397110014,0.466037664,0.459028878,0.655892952
0.788867173,0.103505837,0.89237301,0.081652357,7.621475225,0.975751665,0.888181948
0.717797347,0.628284847,1.346082194,0.450981197,1.142471206,0.811947864,0.847229218
0.787684561,0.263936689,1.05162125,0.207898855,2.984369334,0.938952403,0.887515949
0.104775559,0.035294357,0.140069916,0.003697986,2.968620697,0.923465566,0.32369053
0.756253793,0.64342586,1.399679653,0.486593247,1.175354987,0.835471374,0.869628537
0.576658033,0.521390692,1.098048724,0.300664131,1.105999862,0.750490244,0.759380032
0.423518928,0.762859912,1.186378839,0.323085612,0.555172609,0.519225766,0.650783319
0.361003584,0.649806798,1.010810382,0.234582583,0.55555526,0.515784128,0.600835738
0.189504485,0.519086133,0.708590618,0.09836915,0.365073296,0.421718154,0.435321129
0.29957971,0.301363377,0.600943087,0.090282353,0.994081342,0.695408521,0.547338753
0.266534415,0.371554355,0.63808877,0.099032023,0.717349727,0.611837561,0.516269712
0.734181128,0.62664898,1.360830108,0.460073855,1.171598695,0.823959229,0.856843701
0.844777502,0.629596101,1.474373603,0.531868622,1.341776895,0.899243407,0.919117785
0.497949573,0.338751467,0.83670104,0.168681148,1.469955471,0.789625378,0.705655421
0.847366314,0.86425059,1.711616904,0.732336837,0.98046368,0.86663353,0.920525021
0.956149979,0.017764115,0.973914094,0.016985158,53.82480298,0.999203765,0.977829218
0.625525896,0.344875815,0.97040171,0.215728753,1.813771418,0.850608914,0.790901951
0.390108268,0.082292864,0.472401133,0.032103127,4.740487191,0.92545958,0.624586478
0.926797867,0.216310463,1.14310833,0.200476076,4.28457252,0.983690587,0.962703416
0.001101139,0.00900656,0.010107699,9.91747E-06,0.122259622,0.940496474,0.033183409
0.448492467,0.612404198,1.060896665,0.27465867,0.732347148,0.611974596,0.669695802
0.919099726,0.86141364,1.780513366,0.79172504,1.066966766,0.929908196,0.95869689
0.058310765,0.313503254,0.371814019,0.018280615,0.18599732,0.410259091,0.24147622
0.624663051,0.294409444,0.919072496,0.183906702,2.121749364,0.870635154,0.790356281
0.11543187,0.801276644,0.916708514,0.092492861,0.144059946,0.177281537,0.33975266
0.007884247,0.807711406,0.815595653,0.006368197,0.009761218,0.020007336,0.088793284
0.14371827,0.722802738,0.866521008,0.103879959,0.198834706,0.246063588,0.379101925
0.971901201,0.426723973,1.398625174,0.414733542,2.277587533,0.987911546,0.985850496
0.835486202,0.275057146,1.110543348,0.22980645,3.037500446,0.951763053,0.914049344
0.053962988,0.415697679,0.469660667,0.022432289,0.12981306,0.297122297,0.23229935
